INSERT INTO noter(id_recette,id_user,date,note) VALUES
(1,1,'2023-01-03',3),
(1,2,'2023-01-03',2),
(1,3,'2023-01-03',3),
(2,1,'2023-01-03',7),
(2,2,'2023-01-03',7),
(2,3,'2023-01-03',9),
(3,1,'2023-01-03',2),
(3,2,'2023-01-03',9),
(3,3,'2023-01-03',9),
(4,1,'2023-01-03',9),
(4,2,'2023-01-03',0),
(4,3,'2023-01-03',4),
(5,1,'2023-01-03',10),
(5,2,'2023-01-03',4),
(5,3,'2023-01-03',2),
(6,1,'2023-01-03',6),
(6,2,'2023-01-03',3),
(6,3,'2023-01-03',8),
(7,1,'2023-01-03',2),
(7,2,'2023-01-03',4),
(7,3,'2023-01-03',2),
(8,1,'2023-01-03',10),
(8,2,'2023-01-03',4),
(8,3,'2023-01-03',10),
(9,1,'2023-01-03',5),
(9,2,'2023-01-03',2),
(9,3,'2023-01-03',6),
(10,1,'2023-01-03',8),
(10,2,'2023-01-03',7),
(10,3,'2023-01-03',9),
(11,1,'2023-01-03',9),
(11,2,'2023-01-03',3),
(11,3,'2023-01-03',3),
(12,1,'2023-01-03',0),
(12,2,'2023-01-03',2),
(12,3,'2023-01-03',1),
(13,1,'2023-01-03',6),
(13,2,'2023-01-03',4),
(13,3,'2023-01-03',10),
(14,1,'2023-01-03',1),
(14,2,'2023-01-03',3),
(14,3,'2023-01-03',5),
(15,1,'2023-01-03',9),
(15,2,'2023-01-03',0),
(15,3,'2023-01-03',7),
(16,1,'2023-01-03',4),
(16,2,'2023-01-03',6),
(16,3,'2023-01-03',0),
(17,1,'2023-01-03',6),
(17,2,'2023-01-03',8),
(17,3,'2023-01-03',2),
(18,1,'2023-01-03',3),
(18,2,'2023-01-03',10),
(18,3,'2023-01-03',10),
(19,1,'2023-01-03',0),
(19,2,'2023-01-03',6),
(19,3,'2023-01-03',1),
(20,1,'2023-01-03',4),
(20,2,'2023-01-03',2),
(20,3,'2023-01-03',10),
(21,1,'2023-01-03',1),
(21,2,'2023-01-03',0),
(21,3,'2023-01-03',1),
(22,1,'2023-01-03',0),
(22,2,'2023-01-03',7),
(22,3,'2023-01-03',1),
(23,1,'2023-01-03',2),
(23,2,'2023-01-03',4),
(23,3,'2023-01-03',9),
(24,1,'2023-01-03',3),
(24,2,'2023-01-03',2),
(24,3,'2023-01-03',10),
(25,1,'2023-01-03',7),
(25,2,'2023-01-03',4),
(25,3,'2023-01-03',10),
(26,1,'2023-01-03',7),
(26,2,'2023-01-03',2),
(26,3,'2023-01-03',5),
(27,1,'2023-01-03',1),
(27,2,'2023-01-03',1),
(27,3,'2023-01-03',6),
(28,1,'2023-01-03',5),
(28,2,'2023-01-03',7),
(28,3,'2023-01-03',2),
(29,1,'2023-01-03',10),
(29,2,'2023-01-03',2),
(29,3,'2023-01-03',1),
(30,1,'2023-01-03',0),
(30,2,'2023-01-03',8),
(30,3,'2023-01-03',7),
(31,1,'2023-01-03',9),
(31,2,'2023-01-03',5),
(31,3,'2023-01-03',2),
(32,1,'2023-01-03',6),
(32,2,'2023-01-03',2),
(32,3,'2023-01-03',0),
(33,1,'2023-01-03',1),
(33,2,'2023-01-03',7),
(33,3,'2023-01-03',10),
(34,1,'2023-01-03',2),
(34,2,'2023-01-03',5),
(34,3,'2023-01-03',2),
(35,1,'2023-01-03',0),
(35,2,'2023-01-03',5),
(35,3,'2023-01-03',8),
(36,1,'2023-01-03',4),
(36,2,'2023-01-03',8),
(36,3,'2023-01-03',2),
(37,1,'2023-01-03',0),
(37,2,'2023-01-03',8),
(37,3,'2023-01-03',4),
(38,1,'2023-01-03',7),
(38,2,'2023-01-03',4),
(38,3,'2023-01-03',4),
(39,1,'2023-01-03',6),
(39,2,'2023-01-03',4),
(39,3,'2023-01-03',2),
(40,1,'2023-01-03',10),
(40,2,'2023-01-03',10),
(40,3,'2023-01-03',3),
(41,1,'2023-01-03',0),
(41,2,'2023-01-03',3),
(41,3,'2023-01-03',10),
(42,1,'2023-01-03',1),
(42,2,'2023-01-03',4),
(42,3,'2023-01-03',6),
(43,1,'2023-01-03',3),
(43,2,'2023-01-03',7),
(43,3,'2023-01-03',7),
(44,1,'2023-01-03',9),
(44,2,'2023-01-03',8),
(44,3,'2023-01-03',9),
(45,1,'2023-01-03',0),
(45,2,'2023-01-03',1),
(45,3,'2023-01-03',9),
(46,1,'2023-01-03',8),
(46,2,'2023-01-03',1),
(46,3,'2023-01-03',9),
(47,1,'2023-01-03',3),
(47,2,'2023-01-03',6),
(47,3,'2023-01-03',6),
(48,1,'2023-01-03',10),
(48,2,'2023-01-03',7),
(48,3,'2023-01-03',3),
(49,1,'2023-01-03',8),
(49,2,'2023-01-03',5),
(49,3,'2023-01-03',10),
(50,1,'2023-01-03',8),
(50,2,'2023-01-03',2),
(50,3,'2023-01-03',7)
